"","post_id","post_type","xyz"
"569","720575940621958408",NA,NA
"570","720575940610766962",NA,NA
"571","720575940626594734",NA,NA
"572","720575940615177152",NA,NA
"573","720575940620878872","SMP506","(110365.04, 44192.355, 3713)"
"574","720575940636182079",NA,NA
"575","720575940614816349",NA,NA
"576","720575940632837537",NA,NA
"577","720575940638122741",NA,NA
"578","720575940630995629",NA,NA
"579","720575940630872548",NA,NA
"580","720575940614835798",NA,NA
"581","720575940629455844",NA,NA
"582","720575940621193608",NA,NA
"583","720575940630784740",NA,NA
"584","720575940634374286",NA,NA
"585","720575940628337004",NA,NA
"586","720575940639692763",NA,NA
"587","720575940625614418",NA,NA
"588","720575940626001404",NA,NA
"589","720575940626363920",NA,NA
"590","720575940612610814",NA,NA
"591","720575940612022768",NA,NA
"592","720575940630021191",NA,NA
"593","720575940625378321",NA,NA
"594","720575940627744996",NA,NA
"595","720575940612406336",NA,NA
"596","720575940613509279",NA,NA
"597","720575940616083995",NA,NA
"598","720575940616840709",NA,NA
"599","720575940621921543",NA,NA
"600","720575940619481788",NA,NA
"601","720575940629854348",NA,NA
"602","720575940644804404",NA,NA
"603","720575940621503485",NA,NA
"604","720575940637095221",NA,NA
"605","720575940641473665",NA,NA
"606","720575940616302405",NA,NA
"607","720575940634362254","VA5_lPN","(96447.775, 32645.0875, 4533)"
"608","720575940624865611",NA,NA
"609","720575940619450996",NA,NA
"610","720575940645149316",NA,NA
"611","720575940635977050",NA,NA
"612","720575940635558889","DL1_adPN","(97612.85, 33646.9225, 4430)"
"613","720575940615099677",NA,NA
"614","720575940636537111",NA,NA
"615","720575940621745159",NA,NA
"616","720575940621335236",NA,NA
"617","720575940628847968",NA,NA
"618","720575940653663105",NA,NA
"619","720575940625476625",NA,NA
"620","720575940621692599",NA,NA
"621","720575940628914117",NA,NA
"622","720575940618498395",NA,NA
"623","720575940623023374",NA,NA
"624","720575940614436155",NA,NA
"625","720575940628658681",NA,NA
"626","720575940615006011",NA,NA
"627","720575940612492690",NA,NA
"628","720575940625051013",NA,NA
"629","720575940647822457",NA,NA
"630","720575940614961437",NA,NA
"631","720575940608242786",NA,NA
"632","720575940620561885",NA,NA
"633","720575940626559531",NA,NA
"634","720575940619981662",NA,NA
"635","720575940634177893",NA,NA
"636","720575940621367530",NA,NA
"637","720575940648906369",NA,NA
"638","720575940604973186",NA,NA
"639","720575940621303946",NA,NA
"640","720575940635674601",NA,NA
"641","720575940622548263",NA,NA
"642","720575940618369812",NA,NA
"643","720575940619849204",NA,NA
"644","720575940630866477",NA,NA
"645","720575940628186076",NA,NA
"646","720575940613478336",NA,NA
"647","720575940623970110",NA,NA
"648","720575940615042845",NA,NA
"649","720575940633768420",NA,NA
"650","720575940623741386",NA,NA
"651","720575940613803788",NA,NA
"652","720575940627942188",NA,NA
"653","720575940610711154","DA1_lPN","(113795.125, 58276.2425, 1223)"
"654","720575940625368593",NA,NA
"655","720575940608777170",NA,NA
"656","720575940624275096",NA,NA
"657","720575940620729037","PLP094","(109274.36, 40898.3875, 3773)"
"658","720575940628435671","AVLP434_a","(96059.0625, 43760.375, 2676)"
"659","720575940622636007",NA,NA
"660","720575940626382688",NA,NA
"661","720575940637252174",NA,NA
"662","720575940635575268",NA,NA
"663","720575940632001269",NA,NA
"664","720575940620126588",NA,NA
"665","720575940613943739",NA,NA
"666","720575940652874913",NA,NA
"667","720575940623961648","FB6A","(114853.675, 30678.6025, 3088)"
"668","720575940637566371",NA,NA
"669","720575940630825299",NA,NA
"670","720575940618338053",NA,NA
"671","720575940624659545",NA,NA
"672","720575940620344534",NA,NA
"673","720575940626407153",NA,NA
"674","720575940608799096","SIP040","(107618.4, 31378.75, 2838)"
"675","720575940622462451",NA,NA
"676","720575940615430848",NA,NA
"677","720575940644821889",NA,NA
"678","720575940612233408",NA,NA
"679","720575940652525985",NA,NA
"680","720575940652378785",NA,NA
"681","720575940627223009",NA,NA
"682","720575940603800678",NA,NA
"683","720575940623796030",NA,NA
"684","720575940615558557","DL1_adPN","(115394.445, 54068.9425, 1309)"
"685","720575940625077790",NA,NA
"686","720575940625329029",NA,NA
"687","720575940630186148",NA,NA
"688","720575940635893749",NA,NA
"689","720575940616350528",NA,NA
"690","720575940615962004",NA,NA
"691","720575940624767262",NA,NA
"692","720575940615796564",NA,NA
"693","720575940624034622",NA,NA
"694","720575940628913504",NA,NA
"695","720575940621317119",NA,NA
"696","720575940627015362",NA,NA
"697","720575940618782529",NA,NA
"698","720575940625109629",NA,NA
"699","720575940631194852",NA,NA
"700","720575940625021065",NA,NA
"701","720575940612378048",NA,NA
"702","720575940632525920","AVLP494","(107588.86, 52608.0075, 3094)"
"703","720575940619084909",NA,NA
"704","720575940628657605",NA,NA
"705","720575940622628903",NA,NA
"706","720575940603788465",NA,NA
"707","720575940620616782",NA,NA
"708","720575940618301120",NA,NA
"709","720575940603468832",NA,NA
"710","720575940608018756",NA,NA
"711","720575940624672899",NA,NA
"712","720575940613340096",NA,NA
"713","720575940650047734",NA,NA
"714","720575940628989515",NA,NA
"715","720575940621362217",NA,NA
